1,1,185
1,2,25
1,3,24
1,4,183
1,5,68
1,6,184
1,7,6
1,8,76
2,1,74
2,2,59
2,3,164
2,4,147
2,5,154
2,6,107
3,1,68
3,2,183
3,3,36
4,1,68
4,2,169
4,3,147
4,4,164
5,1,142
5,2,36
5,3,183
6,1,142
6,2,169
6,3,36
6,4,170
6,5,183
6,6,112
7,1,150
7,2,168
7,3,77
7,4,114
7,5,147
7,6,46
8,1,183
8,2,40
8,3,168
8,4,77
8,5,114
8,6,36
8,7,147
9,1,7
9,2,150
9,3,77
9,4,114
9,5,107
9,6,147
10,1,27
10,2,169
10,3,114
10,4,46
10,5,129
10,6,183
10,7,147
10,8,113
11,1,53
11,2,114
11,3,136
11,4,162
11,5,129
11,6,107
11,7,25
11,8,74
11,9,91
12,1,86
12,2,96
12,3,64
12,4,114
12,5,172
12,6,147
12,7,42
13,1,146
13,2,112
13,3,114
13,4,74
13,5,78
13,6,110
13,7,156
13,8,50
13,9,187
14,1,86
14,2,161
14,3,69
14,4,147
14,5,129
15,1,68
15,2,74
15,3,107
15,4,147
15,5,25
16,1,86
16,2,60
16,3,77
16,4,98
16,5,109
16,6,57
16,7,120
16,8,117
16,9,14
16,10,145
16,11,114
16,12,147
16,13,164
16,14,121
17,1,142
17,2,68
17,3,84
17,4,91
17,5,157
17,6,147
18,1,183
18,2,112
18,3,147
18,4,156
18,5,74
19,1,114
19,2,136
19,3,33
19,4,156
19,5,147
19,6,129
20,1,8
20,2,30
20,3,114
20,4,162
20,5,136
20,6,147
21,1,16
21,2,18
21,3,114
21,4,30
21,5,28
21,6,77
21,7,147
21,8,64
21,9,13
21,10,15
22,1,16
22,2,114
22,3,74
22,4,18
22,5,147
22,6,129
22,7,166
22,8,105
22,9,136
22,10,30
22,11,127
22,12,28
22,13,121
23,1,114
23,2,28
23,3,80
23,4,38
23,5,64
23,6,171
23,7,47
23,8,119
23,9,62
23,10,78
23,11,162
24,1,114
24,2,77
24,3,169
24,4,38
24,5,119
24,6,78
24,7,62
24,8,47
25,1,110
25,2,148
25,3,74
25,4,107
25,5,58
25,6,77
25,7,14
25,8,105
25,9,117
25,10,120
26,1,74
26,2,68
26,3,183
26,4,38
26,5,47
26,6,56
26,7,174
26,8,62
26,9,114
26,10,65
27,1,142
27,2,183
27,3,147
28,1,169
28,2,188
28,3,144
28,4,45
28,5,121
28,6,41
28,7,77
28,8,99
29,1,86
29,2,115
29,3,95
29,4,66
29,5,12
29,6,160
29,7,68
30,1,136
30,2,25
30,3,58
30,4,45
30,5,147
30,6,129
31,1,35
31,2,23
31,3,157
31,4,36
31,5,183
31,6,151
31,7,55
31,8,164
32,1,143
32,2,19
32,3,114
32,4,28
32,5,63
32,6,157
32,7,36
32,8,183
32,9,77
32,10,32
32,11,164
32,12,151
33,1,61
33,2,84
33,3,77
33,4,181
33,5,157
33,6,151
33,7,41
33,8,164
33,9,152
34,1,113
34,2,77
34,3,140
34,4,171
34,5,64
34,6,147
34,7,129
34,8,164
34,9,14
35,1,114
35,2,30
35,3,37
35,4,35
35,5,69
35,6,28
35,7,14
35,8,117
35,9,147
35,10,129
36,1,34
36,2,22
36,3,25
37,1,179
37,2,106
37,3,123
38,1,81
38,2,179
38,3,106
39,1,114
39,2,77
39,3,14
39,4,117
39,5,141
39,6,171
39,7,169
39,8,60
40,1,11
40,2,25
40,3,10
40,4,164
40,5,68
40,6,177
40,7,74
40,8,147
41,1,25
41,2,68
41,3,164
41,4,74
41,5,177
41,6,147
42,1,136
42,2,112
42,3,147
42,4,129
43,1,103
43,2,113
43,3,77
43,4,14
43,5,147
43,6,129
43,7,139
44,1,4
44,2,163
44,3,97
44,4,116
44,5,24
44,6,93
45,1,126
45,2,157
45,3,151
45,4,69
46,1,21
46,2,77
46,3,118
46,4,157
47,1,35
47,2,157
47,3,63
47,4,37
47,5,164
47,6,147
47,7,28
47,8,19
47,9,114
47,10,77
47,11,55
48,1,142
48,2,183
48,3,165
49,1,83
49,2,77
49,3,147
49,4,73
50,1,86
50,2,18
50,3,64
50,4,28
50,5,136
50,6,114
50,7,30
50,8,117
50,9,83
50,10,147
50,11,129
51,1,173
51,2,34
52,1,86
52,2,114
52,3,77
52,4,187
52,5,83
52,6,50
52,7,33
52,8,75
52,9,147
52,10,129
53,1,20
53,2,183
53,3,164
53,4,100
53,5,2
53,6,177
54,1,169
54,2,35
54,3,90
54,4,44
54,5,77
54,6,114
54,7,149
54,8,147
54,9,170
54,10,117
54,11,112
55,1,130
55,2,183
55,3,77
55,4,114
55,5,147
55,6,149
56,1,142
56,2,51
56,3,70
56,4,186
56,5,87
56,6,48
56,7,68
57,1,67
57,2,183
57,3,164
58,1,142
58,2,48
58,3,51
58,4,70
58,5,186
58,6,183
59,1,135
59,2,49
59,3,116
59,4,77
59,5,15
59,6,147
59,7,114
59,8,183
60,1,131
60,2,90
60,3,133
60,4,77
60,5,114
60,6,117
60,7,149
60,8,85
60,9,147
60,10,135
60,11,116
61,1,163
61,2,51
61,3,70
61,4,156
61,5,107
62,1,167
62,2,112
62,3,102
62,4,74
62,5,129
62,6,79
62,7,149
62,8,183
63,1,4
63,2,182
63,3,3
63,4,82
63,5,124
63,6,178
63,7,156
63,8,51
63,9,163
63,10,107
